Nom_Fr,Nom_Ar,apports,id_barrage,lachers,stock,cumul_mensuel_apports,cumul_annuel_apports,cumul_mensuel_lachers,cumul_annuel_lachers,moy_mois,cumul_annee_prec,moy_periode,stock_annee_prec,Cap_tot_act,Cote,Cap_tot_init,fonctionnel,Annee_prod,Latitude,Longitude,Bassin_versant,Date
sidiach,سيدي يعيــــش,0.00077625,23,0.0,1.337,0.0232875,0.810012,0.0,0.202,0.111814,0.045707,1.85328,2.42152,88.0,541.0,88.0,1.0,1997,34.7468,8.74761,1900.0,2022-07-02 00:00:00
elbrek,البــــــــرك,0.00042735,24,0.0,0.06,0.0128205,0.680234,0.0,0.0,0.0835049,0.549573,2.11092,0.06,16.0,849.0,16.0,1.0,2002,35.4705,8.96766,293.0,2022-07-02 00:00:00
bezirk,بزيـــــــغ,0.0,25,0.00144,1.3372,0.034123,1.58238,0.26496,0.48596,0.130037,0.785405,5.09204,1.896,5.01,54.62,6.5,1.0,1959,36.7159,10.6262,86.0,2022-07-02 00:00:00
chiba,شيبـــــــة,0.0,26,0.0,0.50304,0.0,1.30067,0.0,0.053721,0.18711,0.392473,6.75243,0.53536,5.045,77.88,7.8,1.0,1963,36.6923,10.7697,64.0,2022-07-02 00:00:00
masri,مصــــــري,0.053155,27,0.12795,4.05458,0.138777,0.935284,0.864194,4.60654,0.0864223,0.808405,4.72968,3.96484,5.193,163.0,6.9,1.0,1968,36.534,10.4911,53.0,2022-07-02 00:00:00
lebna,لبنــــــــة,0.00385616,28,0.013,4.36018,0.0771301,4.41957,0.768,2.74097,0.182602,3.9641,18.0461,7.91075,23.3053,18.04,30.1,1.0,1986,36.7388,10.9218,199.0,2022-07-02 00:00:00
hma,الحمـــــى,0.0,29,0.0,0.468256,0.00218008,0.275397,0.0,0.0,0.0578286,1.86717,4.466,1.46487,12.854,102.4,12.1,1.0,2002,36.5874,10.304,123.0,2022-07-02 00:00:00
abid,العبيـــــــد,0.0,30,0.009128,2.60619,0.0405914,3.04394,0.336387,0.686885,0.0124065,0.960733,5.24016,2.64123,9.615,42.2,10.0,1.0,2002,36.8308,10.7086,54.0,2022-07-02 00:00:00
mellegue,مـــــلاق,0.0,1,0.13,23.2109,0.0637722,30.4346,1.856,8.277,14.8922,38.8037,167.336,8.40026,51.13,265.0,267.67,1.0,1954,36.3144,8.70273,10300.0,2022-07-01 00:00:00
sarrat,سراط,0.00322506,36,0.016672,5.68983,0.132924,9.20345,0.155222,6.74827,1.867,,17.449,6.03379,21.0,546.0,21.0,1.0,2016,49.9167,26.5833,1850.0,2022-07-01 00:00:00
benmetir,بنيمطيــر,0.0,2,0.03456,23.7662,0.0124311,29.8789,1.00224,11.7363,0.282436,16.8917,43.1971,16.8343,60.393,436.5,61.63,1.0,1954,36.7471,8.74188,103.0,2022-07-01 00:00:00
kasseb,كســاب,1.15372e-05,3,0.09504,30.6838,0.276341,31.7674,2.55542,23.9482,0.430066,23.8824,43.437,32.4792,76.9,292.04,81.875,1.0,1968,36.7614,9.0023,101.0,2022-07-01 00:00:00
barbara,بربرة,0.00560952,4,0.015508,63.4712,0.232483,62.3162,0.492856,35.0421,0.293949,48.7927,83.5417,54.461,64.7,182.0,74.82,1.0,1998,36.7341,8.53173,177.0,2022-07-01 00:00:00
sidisalem,سيدي ســــالم,0.0,5,1.9812,183.695,0.900468,216.271,28.3551,144.795,9.72415,153.848,394.311,222.467,580.35,115.0,814.0,1.0,1981,36.5907,9.39706,7950.0,2022-07-01 00:00:00
bouheurtma,بو هرتمـــــه,0.0313365,6,0.3075,47.5544,0.240585,66.0736,8.23031,41.0435,1.18503,32.6828,81.5718,28.2093,112.037,221.0,117.5,1.0,1976,36.6719,8.78758,390.0,2022-07-01 00:00:00
joumine,جوميــــــن,0.0395082,7,0.25718,42.1733,0.721794,62.6975,7.368,48.701,0.735881,39.9499,76.0575,41.7921,118.773,90.0,129.9,1.0,1983,36.9909,9.61373,418.0,2022-07-01 00:00:00
ghezala,غزالـــــــة,0.0,8,0.0415,6.45448,0.0515762,7.04006,1.2329,4.41627,0.103143,3.76661,9.53551,6.29188,10.004,82.5,11.7,1.0,1984,37.0594,9.54582,48.0,2022-07-01 00:00:00
melah,المالح,0.0,33,0.079,13.0024,0.0466847,18.4385,2.34581,6.35947,0.37,7.4281,25.72,7.1458,41.0,136.0,41.0,1.0,2015,37.0359,9.41093,85.9,2022-07-01 00:00:00
tine,الطين,0.0,34,0.0547,3.175,0.251594,6.78285,1.55477,5.57183,0.16,6.46271,17.4,5.9854,34.0,136.0,34.0,1.0,2017,36.8644,9.62805,276.0,2022-07-01 00:00:00
sejnane,سجنــــــان,0.0,9,0.494793,102.209,0.200231,125.514,14.7894,198.215,1.37957,94.5543,119.308,96.1057,134.014,86.5,137.5,1.0,1994,37.181,9.47513,367.0,2022-07-01 00:00:00
zarga,الزرقة,0.0,10,0.0441,17.921,2.65151e-05,12.5113,1.3205,6.1772,0.09,7.85461,22.09,17.128,24.0,93.0,24.0,1.0,2012,36.8824,8.69921,60.0,2022-07-01 00:00:00
kebir,الكبير,0.00347136,31,0.0,6.4636,0.079355,19.1828,0.0,17.9095,0.124519,17.7404,39.6197,6.1824,64.4,85.0,64.4,1.0,2014,36.8751,8.71699,85.2,2022-07-01 00:00:00
moula,المولى,0.0,32,0.0,25.9346,0.133663,10.9411,0.0,8.111,0.118173,15.5842,31.8587,25.834,26.3,110.0,26.3,1.0,2013,36.9347,8.84504,58.0,2022-07-01 00:00:00
selbarrak,سيدي البــــراق,0.0,11,0.39806,250.271,2.72248,246.45,10.5118,164.863,1.97054,173.779,296.035,244.731,286.514,27.0,286.514,1.0,1999,37.0261,8.93618,865.0,2022-07-01 00:00:00
ziatine,الزياتين,0.0183198,12,0.05434,22.8128,0.41026,18.1746,1.55751,10.5648,0.1,11.7494,29.2,22.52,33.0,37.0,33.0,1.0,2012,37.1856,9.20109,95.0,2022-07-01 00:00:00
gamgoum,القمقوم,0.00626022,13,0.0,17.3357,0.124705,8.75106,0.0,6.9895,0.0,6.9283,7.96404,17.5792,18.3,48.0,18.3,1.0,2012,37.1991,9.26906,35.5,2022-07-01 00:00:00
harka,الحركة,0.0193582,35,0.0,27.273,0.393335,16.1018,0.0,10.7145,0.34,,24.5,29.1589,30.3,38.4,30.3,1.0,2016,37.0605,9.23982,77.0,2022-07-01 00:00:00
siliana,سليانـــــــة,0.0264666,14,0.145014,7.45387,0.299119,10.812,1.18761,2.17339,0.902666,11.2058,35.1662,4.12368,33.4411,388.5,70.0,1.0,1987,36.1571,9.35208,1040.0,2022-07-01 00:00:00
lakhmess,لخمـــــــاس,0.00341542,15,0.002522,6.49878,0.160562,6.67884,0.382031,0.911414,0.481743,1.61896,12.4042,1.94239,7.22,517.06,8.22,1.0,1966,35.9952,9.47242,127.0,2022-07-01 00:00:00
rmil,الرميـــــــل,0.00200027,16,0.003648,0.8125,0.0684019,1.25702,0.188306,0.406914,0.0634854,1.56136,10.0152,0.879,2.0,285.0,4.0,1.0,2002,36.302,9.50269,232.0,2022-07-01 00:00:00
birmcherga,بئر المشارقـــة,0.0,17,0.004,20.1247,0.0245427,5.33093,0.12,1.212,0.338467,9.37769,25.9843,28.9538,41.599,122.5,52.9,1.0,1971,36.5112,10.0114,1263.0,2022-07-01 00:00:00
rmel,الرمــــــل,0.011976,18,0.0,0.900043,0.325536,1.64837,0.0,0.0158,0.16196,6.15259,15.8926,1.777,23.83,43.0,22.0,1.0,1998,36.3318,10.3597,675.0,2022-07-01 00:00:00
nebhana,نبهانــــــة,0.00136292,19,0.07441,14.6875,0.442636,18.8134,2.17096,4.13849,0.741472,6.87425,22.3256,3.7824,58.76,230.0,86.5,1.0,1965,36.06,9.87235,855.0,2022-07-01 00:00:00
sidisaad,سيدي سعـــد,0.0,20,0.0,33.9897,0.16273,13.5605,0.0,1.84026,2.50689,23.119,44.4849,37.8633,133.317,270.0,209.0,1.0,1981,35.3901,9.69476,8950.0,2022-07-01 00:00:00
elhaouareb,هـــــــوارب,0.0,21,0.0072,4.79743,0.0,15.0016,0.18128,0.552748,0.496056,8.3042,14.7297,0.300336,77.47,217.0,0.0,1.0,1989,35.5727,9.74681,1120.0,2022-07-01 00:00:00
sficifa,سفيسيفة,0.00150053,22,0.0,1.49861,0.0301189,0.183362,0.0,0.0,0.56,0.248893,76.248,1.55724,7.71,677.8,4.24,1.0,2005,35.3413,9.07053,173.65,2022-07-01 00:00:00
sidiach,سيدي يعيــــش,0.00077625,23,0.0,1.337,0.0232875,0.810012,0.0,0.202,0.111814,0.045707,1.85328,2.42152,88.0,541.0,88.0,1.0,1997,34.7468,8.74761,1900.0,2022-07-01 00:00:00
elbrek,البــــــــرك,0.00042735,24,0.0,0.06,0.0128205,0.680234,0.0,0.0,0.0835049,0.549573,2.11092,0.06,16.0,849.0,16.0,1.0,2002,35.4705,8.96766,293.0,2022-07-01 00:00:00
bezirk,بزيـــــــغ,0.0,25,0.00144,1.3372,0.034123,1.58238,0.26496,0.48596,0.130037,0.785405,5.09204,1.896,5.01,54.62,6.5,1.0,1959,36.7159,10.6262,86.0,2022-07-01 00:00:00
chiba,شيبـــــــة,0.0,26,0.0,0.50304,0.0,1.30067,0.0,0.053721,0.18711,0.392473,6.75243,0.53536,5.045,77.88,7.8,1.0,1963,36.6923,10.7697,64.0,2022-07-01 00:00:00
masri,مصــــــري,0.053155,27,0.12795,4.05458,0.138777,0.935284,0.864194,4.60654,0.0864223,0.808405,4.72968,3.96484,5.193,163.0,6.9,1.0,1968,36.534,10.4911,53.0,2022-07-01 00:00:00
lebna,لبنــــــــة,0.00385616,28,0.013,4.36018,0.0771301,4.41957,0.768,2.74097,0.182602,3.9641,18.0461,7.91075,23.3053,18.04,30.1,1.0,1986,36.7388,10.9218,199.0,2022-07-01 00:00:00
hma,الحمـــــى,0.0,29,0.0,0.468256,0.00218008,0.275397,0.0,0.0,0.0578286,1.86717,4.466,1.46487,12.854,102.4,12.1,1.0,2002,36.5874,10.304,123.0,2022-07-01 00:00:00
abid,العبيـــــــد,0.0,30,0.009128,2.60619,0.0405914,3.04394,0.336387,0.686885,0.0124065,0.960733,5.24016,2.64123,9.615,42.2,10.0,1.0,2002,36.8308,10.7086,54.0,2022-07-01 00:00:00
mellegue,مـــــلاق,0.0,1,0.13,23.2109,0.0637722,30.4346,1.856,8.277,14.8922,38.8037,167.336,8.40026,51.13,265.0,267.67,1.0,1954,36.3144,8.70273,10300.0,2022-06-30 00:00:00
sarrat,سراط,0.00322506,36,0.016672,5.68983,0.132924,9.20345,0.155222,6.74827,1.867,,17.449,6.03379,21.0,546.0,21.0,1.0,2016,49.9167,26.5833,1850.0,2022-06-30 00:00:00
benmetir,بنيمطيــر,0.0,2,0.03456,23.7662,0.0124311,29.8789,1.00224,11.7363,0.282436,16.8917,43.1971,16.8343,60.393,436.5,61.63,1.0,1954,36.7471,8.74188,103.0,2022-06-30 00:00:00
kasseb,كســاب,1.15372e-05,3,0.09504,30.6838,0.276341,31.7674,2.55542,23.9482,0.430066,23.8824,43.437,32.4792,76.9,292.04,81.875,1.0,1968,36.7614,9.0023,101.0,2022-06-30 00:00:00
barbara,بربرة,0.00560952,4,0.015508,63.4712,0.232483,62.3162,0.492856,35.0421,0.293949,48.7927,83.5417,54.461,64.7,182.0,74.82,1.0,1998,36.7341,8.53173,177.0,2022-06-30 00:00:00
sidisalem,سيدي ســــالم,0.0,5,1.9812,183.695,0.900468,216.271,28.3551,144.795,9.72415,153.848,394.311,222.467,580.35,115.0,814.0,1.0,1981,36.5907,9.39706,7950.0,2022-06-30 00:00:00
bouheurtma,بو هرتمـــــه,0.0313365,6,0.3075,47.5544,0.240585,66.0736,8.23031,41.0435,1.18503,32.6828,81.5718,28.2093,112.037,221.0,117.5,1.0,1976,36.6719,8.78758,390.0,2022-06-30 00:00:00
joumine,جوميــــــن,0.0395082,7,0.25718,42.1733,0.721794,62.6975,7.368,48.701,0.735881,39.9499,76.0575,41.7921,118.773,90.0,129.9,1.0,1983,36.9909,9.61373,418.0,2022-06-30 00:00:00
